event name,event,start,stop,delta(duration),optimist,pessimist,risk parameter,links to
a,1,1/1/2021,1/20/2021,19,15,26,1,2m6
b,2,1/21/2021,2/5/2021,15,12,21,tpe,3
c,3,2/8/2021,2/25/2021,17,15,23,tpe,4m5
d,4,3/1/2021,3/25/2021,24,23,28,1,na
e,5,3/28/2021,4/16/2021,19,16,27,1,7m8
f,6,3/2/2021,4/14/2021,43,35,48,0.7,5
g,7,4/18/2021,5/3/2021,15,12,25,0.6,9
h,8,4/19/2021,5/4/2021,15,12,17,tpe,9
i,9,5/7/2021,5/19/2021,12,10,15,1,10
j,10,5/21/2021,6/15/2021,25,22,34,0.8,11m12
k,11,6/16/2021,6/17/2021,1,1,3,tpe,na
l,12,6/16/2021,6/25/2021,9,7,12,1,13
m,13,6/27/2021,7/1/2021,4,3,5,1,na
